1.0 NONTERMINAL NP+ADVP
254.0 NONTERMINAL VP+VERB
65.0 NONTERMINAL SBAR
3405.0 NONTERMINAL SBARQ
81.0 NONTERMINAL ADJP
30.0 NONTERMINAL WHADVP
1808.0 NONTERMINAL DET
1.0 NONTERMINAL S+VP+VERB
2.0 NONTERMINAL NP+QP
2.0 NONTERMINAL NP+S
11.0 NONTERMINAL SBAR+S
3.0 NONTERMINAL NP+X
3.0 NONTERMINAL NP+NP
251.0 NONTERMINAL SQ+VP
68.0 NONTERMINAL CONJ
569.0 NONTERMINAL WHNP
301.0 NONTERMINAL WHADVP+ADV
85.0 NONTERMINAL S
1.0 NONTERMINAL NX
1024.0 NONTERMINAL PP
3852.0 NONTERMINAL NOUN
4.0 NONTERMINAL NP+ADJ
27.0 NONTERMINAL PRT+PRT
280.0 NONTERMINAL PRT
1.0 NONTERMINAL WHNP+WHNP
2032.0 NONTERMINAL .
1.0 NONTERMINAL PP+NOUN
24.0 NONTERMINAL WHPP
103.0 NONTERMINAL NUM
50.0 NONTERMINAL NP+NUM
4813.0 NONTERMINAL NP
90.0 NONTERMINAL S+VP
25.0 NONTERMINAL NP+DET
244.0 NONTERMINAL ADV
16.0 NONTERMINAL VP+NOUN
19.0 NONTERMINAL ADJP+ADJ
1010.0 NONTERMINAL ADP
1.0 NONTERMINAL NP+PP
1.0 NONTERMINAL PP+PP+ADP
2.0 NONTERMINAL ADVP+ADJ
803.0 NONTERMINAL VP
6.0 NONTERMINAL PP+PRT
817.0 NONTERMINAL WHNP+PRON
2349.0 NONTERMINAL VERB
1.0 NONTERMINAL NP+S+VP
17.0 NONTERMINAL X
656.0 NONTERMINAL NP+NOUN
916.0 NONTERMINAL ADJ
14.0 NONTERMINAL ADVP
10.0 NONTERMINAL SBAR+S+VP
7.0 NONTERMINAL QP
23.0 NONTERMINAL WHNP+DET
2081.0 NONTERMINAL SQ
38.0 NONTERMINAL ADVP+ADV
2.0 NONTERMINAL NP+VERB
124.0 NONTERMINAL WHADJP
114.0 NONTERMINAL NP+PRON
73.0 NONTERMINAL PRON
1.0 NONTERMINAL NP+SBAR+S
1.0 NONTERMINAL VP+S+VP
1.0 NONTERMINAL SBAR+VP
113.0 NONTERMINAL PP+ADP
0.0240174672489 UNARYRULE_FREQ ADJ American
0.00787401574803 UNARYRULE_FREQ VP+VERB run
0.0247524752475 UNARYRULE_FREQ ADP as
0.0368852459016 UNARYRULE_FREQ ADV much
0.0015243902439 UNARYRULE_FREQ NP+NOUN Johnson
1.0 UNARYRULE_FREQ PP+PRT to
0.00259605399792 UNARYRULE_FREQ NOUN University
0.00436681222707 UNARYRULE_FREQ ADJ North
0.000259605399792 UNARYRULE_FREQ NOUN light
0.04 UNARYRULE_FREQ NP+NUM one
0.00181723779855 UNARYRULE_FREQ NOUN State
0.00255427841635 UNARYRULE_FREQ VERB use
0.0015243902439 UNARYRULE_FREQ NP+NOUN dog
0.00155763239875 UNARYRULE_FREQ NOUN West
0.000851426138782 UNARYRULE_FREQ VERB cost
0.0683168316832 UNARYRULE_FREQ ADP on
0.0138613861386 UNARYRULE_FREQ ADP at
0.000851426138782 UNARYRULE_FREQ VERB built
0.0314960629921 UNARYRULE_FREQ . ,
0.73786407767 UNARYRULE_FREQ NUM _RARE_
0.00181723779855 UNARYRULE_FREQ NOUN term
0.00914634146341 UNARYRULE_FREQ NP+NOUN Alaska
0.00609756097561 UNARYRULE_FREQ NP+NOUN home
0.0958904109589 UNARYRULE_FREQ PRON your
0.00155763239875 UNARYRULE_FREQ NOUN North
0.00819672131148 UNARYRULE_FREQ ADV only
0.0109170305677 UNARYRULE_FREQ ADJ fast
0.259259259259 UNARYRULE_FREQ PRT+PRT up
0.0332056194125 UNARYRULE_FREQ VERB do
0.0108267716535 UNARYRULE_FREQ . .
0.00609756097561 UNARYRULE_FREQ NP+NOUN Canada
0.00103842159917 UNARYRULE_FREQ NOUN Africa
0.0958904109589 UNARYRULE_FREQ PRON _RARE_
0.00207684319834 UNARYRULE_FREQ NOUN King
0.08 UNARYRULE_FREQ NP+DET some
0.0176991150442 UNARYRULE_FREQ PP+ADP at
0.000259605399792 UNARYRULE_FREQ NOUN cost
1.0 UNARYRULE_FREQ VP+NOUN mean
0.0193584070796 UNARYRULE_FREQ DET The
0.000259605399792 UNARYRULE_FREQ NOUN England
0.00609756097561 UNARYRULE_FREQ NP+NOUN light
0.84 UNARYRULE_FREQ NP+DET there
0.00207684319834 UNARYRULE_FREQ NOUN day
0.0111630321911 UNARYRULE_FREQ NOUN U.S.
0.00389408099688 UNARYRULE_FREQ NOUN States
0.00425713069391 UNARYRULE_FREQ VERB play
0.0684931506849 UNARYRULE_FREQ PRON her
0.00609756097561 UNARYRULE_FREQ NP+NOUN France
0.00808854831843 UNARYRULE_FREQ VERB find
0.0564784053156 UNARYRULE_FREQ WHADVP+ADV Why
0.000425713069391 UNARYRULE_FREQ VERB begin
0.0030487804878 UNARYRULE_FREQ NP+NOUN rain
0.000519210799585 UNARYRULE_FREQ NOUN top
0.00181723779855 UNARYRULE_FREQ NOUN actor
0.0684931506849 UNARYRULE_FREQ PRON What
0.269306930693 UNARYRULE_FREQ ADP in
0.0030487804878 UNARYRULE_FREQ NP+NOUN Africa
0.0106438213915 UNARYRULE_FREQ NOUN country
0.0353982300885 UNARYRULE_FREQ PP+ADP on
0.0204918032787 UNARYRULE_FREQ ADV long
0.0438596491228 UNARYRULE_FREQ NP+PRON he
0.0860655737705 UNARYRULE_FREQ ADV most
0.00609756097561 UNARYRULE_FREQ NP+NOUN England
0.259259259259 UNARYRULE_FREQ PRT+PRT _RARE_
0.000425713069391 UNARYRULE_FREQ VERB work
0.00595998297148 UNARYRULE_FREQ VERB used
0.00719026548673 UNARYRULE_FREQ DET what
0.0109170305677 UNARYRULE_FREQ ADJ old
0.000778816199377 UNARYRULE_FREQ NOUN form
0.0231048805815 UNARYRULE_FREQ NOUN name
0.0015243902439 UNARYRULE_FREQ NP+NOUN Mississippi
0.0869565217391 UNARYRULE_FREQ WHNP+DET which
0.00212856534696 UNARYRULE_FREQ VERB had
0.00357142857143 UNARYRULE_FREQ PRT _RARE_
0.000778816199377 UNARYRULE_FREQ NOUN place
0.00873362445415 UNARYRULE_FREQ ADJ tall
0.00819672131148 UNARYRULE_FREQ ADV about
0.0376237623762 UNARYRULE_FREQ ADP from
0.00207684319834 UNARYRULE_FREQ NOUN book
0.353982300885 UNARYRULE_FREQ PP+ADP in
0.191780821918 UNARYRULE_FREQ PRON its
0.037037037037 UNARYRULE_FREQ PRT+PRT on
0.037037037037 UNARYRULE_FREQ PRT+PRT place
0.00436681222707 UNARYRULE_FREQ ADJ French
0.0275590551181 UNARYRULE_FREQ VP+VERB built
0.0582524271845 UNARYRULE_FREQ NUM four
1.0 UNARYRULE_FREQ X _RARE_
0.00129802699896 UNARYRULE_FREQ NOUN address
0.00122399020808 UNARYRULE_FREQ WHNP+PRON Which
0.0137195121951 UNARYRULE_FREQ NP+NOUN water
0.212389380531 UNARYRULE_FREQ PP+ADP for
0.00155763239875 UNARYRULE_FREQ NOUN bird
0.00129802699896 UNARYRULE_FREQ NOUN show
0.00207684319834 UNARYRULE_FREQ NOUN car
0.00393700787402 UNARYRULE_FREQ VP+VERB get
0.000259605399792 UNARYRULE_FREQ NOUN start
0.0033748701973 UNARYRULE_FREQ NOUN New
0.0314960629921 UNARYRULE_FREQ VP+VERB invented
0.00129802699896 UNARYRULE_FREQ NOUN life
0.000259605399792 UNARYRULE_FREQ NOUN Spain
0.0701754385965 UNARYRULE_FREQ NP+PRON _RARE_
0.00155763239875 UNARYRULE_FREQ NOUN money
0.0265486725664 UNARYRULE_FREQ PP+ADP by
0.00409836065574 UNARYRULE_FREQ ADV Why
0.00425713069391 UNARYRULE_FREQ VERB say
0.00207684319834 UNARYRULE_FREQ NOUN movie
0.0459770114943 UNARYRULE_FREQ VERB does
0.00155763239875 UNARYRULE_FREQ NOUN system
0.00609756097561 UNARYRULE_FREQ NP+NOUN Spain
0.00764192139738 UNARYRULE_FREQ ADJ oldest
0.115044247788 UNARYRULE_FREQ PP+ADP from
0.00255427841635 UNARYRULE_FREQ VERB live
0.00129802699896 UNARYRULE_FREQ NOUN Vietnam
0.00181723779855 UNARYRULE_FREQ NOUN river
1.0 UNARYRULE_FREQ PP+PP+ADP in
0.000259605399792 UNARYRULE_FREQ NOUN use
0.00609756097561 UNARYRULE_FREQ NP+NOUN power
0.00425713069391 UNARYRULE_FREQ VERB take
0.215707964602 UNARYRULE_FREQ DET What
0.0033748701973 UNARYRULE_FREQ NOUN people
0.0030487804878 UNARYRULE_FREQ NP+NOUN French
0.00255427841635 UNARYRULE_FREQ VERB founded
0.131578947368 UNARYRULE_FREQ ADVP+ADV first
0.00170285227756 UNARYRULE_FREQ VERB start
0.00212856534696 UNARYRULE_FREQ VERB given
0.00181723779855 UNARYRULE_FREQ NOUN York
0.000778816199377 UNARYRULE_FREQ NOUN Great
0.0157480314961 UNARYRULE_FREQ VP+VERB begin
0.94 UNARYRULE_FREQ NP+NUM _RARE_
0.000778816199377 UNARYRULE_FREQ NOUN Canada
0.00609756097561 UNARYRULE_FREQ NP+NOUN Liberty
0.00595998297148 UNARYRULE_FREQ VERB called
0.00170285227756 UNARYRULE_FREQ VERB write
0.599557522124 UNARYRULE_FREQ DET the
0.00940265486726 UNARYRULE_FREQ DET _RARE_
0.00766283524904 UNARYRULE_FREQ VERB made
0.0386138613861 UNARYRULE_FREQ ADP _RARE_
0.00155763239875 UNARYRULE_FREQ NOUN George
0.00873362445415 UNARYRULE_FREQ ADJ famous
0.417322834646 UNARYRULE_FREQ VP+VERB _RARE_
0.00129802699896 UNARYRULE_FREQ NOUN difference
0.0049504950495 UNARYRULE_FREQ ADP about
0.2030651341 UNARYRULE_FREQ VERB _RARE_
0.109589041096 UNARYRULE_FREQ PRON their
0.00594059405941 UNARYRULE_FREQ ADP into
0.0033748701973 UNARYRULE_FREQ NOUN fear
0.0015243902439 UNARYRULE_FREQ NP+NOUN countries
0.00851426138782 UNARYRULE_FREQ VERB were
0.0046828437633 UNARYRULE_FREQ VERB make
0.57423580786 UNARYRULE_FREQ ADJ _RARE_
0.0826771653543 UNARYRULE_FREQ VP+VERB die
0.00207684319834 UNARYRULE_FREQ NOUN moon
0.109513274336 UNARYRULE_FREQ DET a
0.00103842159917 UNARYRULE_FREQ NOUN rain
0.0485436893204 UNARYRULE_FREQ NUM one
0.00389408099688 UNARYRULE_FREQ NOUN president
0.00792079207921 UNARYRULE_FREQ ADP between
0.00212856534696 UNARYRULE_FREQ VERB causes
0.00129802699896 UNARYRULE_FREQ NOUN Johnson
0.00545851528384 UNARYRULE_FREQ ADJ female
0.00681140911026 UNARYRULE_FREQ VERB known
0.00129802699896 UNARYRULE_FREQ NOUN South
0.000259605399792 UNARYRULE_FREQ NOUN work
0.00218340611354 UNARYRULE_FREQ ADJ musical
0.00327510917031 UNARYRULE_FREQ ADJ National
0.0015243902439 UNARYRULE_FREQ NP+NOUN Vietnam
0.02 UNARYRULE_FREQ NP+NUM two
0.000778816199377 UNARYRULE_FREQ NOUN office
0.041095890411 UNARYRULE_FREQ PRON I
0.00655021834061 UNARYRULE_FREQ ADJ Spanish
0.00127713920817 UNARYRULE_FREQ VERB run
0.0033748701973 UNARYRULE_FREQ NOUN President
0.00212856534696 UNARYRULE_FREQ VERB wrote
0.00259605399792 UNARYRULE_FREQ NOUN Day
0.0049504950495 UNARYRULE_FREQ ADP out
1.0 UNARYRULE_FREQ NP+X _RARE_
1.0 UNARYRULE_FREQ ADVP+ADJ _RARE_
0.00425713069391 UNARYRULE_FREQ VERB call
0.00340570455513 UNARYRULE_FREQ VERB being
0.075327510917 UNARYRULE_FREQ ADJ many
0.00457317073171 UNARYRULE_FREQ NP+NOUN Australia
0.0526315789474 UNARYRULE_FREQ NP+PRON they
0.25 UNARYRULE_FREQ NP+ADJ black
0.011811023622 UNARYRULE_FREQ VP+VERB buried
0.00259605399792 UNARYRULE_FREQ NOUN kind
0.00207684319834 UNARYRULE_FREQ NOUN St.
0.376237623762 UNARYRULE_FREQ ADP of
0.0684931506849 UNARYRULE_FREQ PRON my
0.00109170305677 UNARYRULE_FREQ ADJ home
0.00109170305677 UNARYRULE_FREQ ADJ West
0.801829268293 UNARYRULE_FREQ NP+NOUN _RARE_
0.0294117647059 UNARYRULE_FREQ CONJ _RARE_
0.00545851528384 UNARYRULE_FREQ ADJ European
0.000259605399792 UNARYRULE_FREQ NOUN run
0.00212856534696 UNARYRULE_FREQ VERB been
0.00155763239875 UNARYRULE_FREQ NOUN Washington
0.00285565939772 UNARYRULE_FREQ NOUN body
0.75 UNARYRULE_FREQ NP+ADJ _RARE_
0.00764192139738 UNARYRULE_FREQ ADJ only
0.00233644859813 UNARYRULE_FREQ NOUN film
0.00819672131148 UNARYRULE_FREQ ADV Where
0.00545851528384 UNARYRULE_FREQ ADJ longest
0.00212856534696 UNARYRULE_FREQ VERB win
0.0263157894737 UNARYRULE_FREQ ADVP+ADV best
0.299003322259 UNARYRULE_FREQ WHADVP+ADV Where
0.00129802699896 UNARYRULE_FREQ NOUN rate
0.00155763239875 UNARYRULE_FREQ NOUN Kennedy
0.00259605399792 UNARYRULE_FREQ NOUN baseball
0.00787401574803 UNARYRULE_FREQ VP+VERB play
0.000519210799585 UNARYRULE_FREQ NOUN National
0.0580708661417 UNARYRULE_FREQ . ``
0.00285565939772 UNARYRULE_FREQ NOUN company
0.0030487804878 UNARYRULE_FREQ NP+NOUN year
0.0882352941176 UNARYRULE_FREQ CONJ or
0.151639344262 UNARYRULE_FREQ ADV _RARE_
0.155339805825 UNARYRULE_FREQ NUM two
0.00393700787402 UNARYRULE_FREQ VP+VERB painted
0.00851426138782 UNARYRULE_FREQ VERB stand
0.04 UNARYRULE_FREQ NP+DET _RARE_
0.0152838427948 UNARYRULE_FREQ ADJ most
0.000259605399792 UNARYRULE_FREQ NOUN I
0.00129802699896 UNARYRULE_FREQ NOUN American
0.00212856534696 UNARYRULE_FREQ VERB should
0.00510855683269 UNARYRULE_FREQ VERB be
0.00393700787402 UNARYRULE_FREQ VP+VERB killed
0.00124533001245 BINARYRULE_FREQ VP VERB SBAR+VP
0.00498132004981 BINARYRULE_FREQ VP VERB NP+PRON
0.1 BINARYRULE_FREQ SBAR+S+VP PRT VP+VERB
0.0302739067756 BINARYRULE_FREQ SQ VERB VP
0.000480538202787 BINARYRULE_FREQ SQ ADVP+ADV VP+VERB
0.00124533001245 BINARYRULE_FREQ VP PP WHPP
0.000207770621234 BINARYRULE_FREQ NP VERB NP+NOUN
0.000293685756241 BINARYRULE_FREQ SBARQ SBARQ .
0.0864197530864 BINARYRULE_FREQ ADJP DET ADJ
0.421732745962 BINARYRULE_FREQ SBARQ SQ .
0.00436318304592 BINARYRULE_FREQ NP CONJ NOUN
0.0342821525036 BINARYRULE_FREQ NP NOUN PRT
0.133333333333 BINARYRULE_FREQ S+VP VERB NP
0.0085185954706 BINARYRULE_FREQ NP NOUN PP
0.029296875 BINARYRULE_FREQ PP PRT NP
0.0958904109589 BINARYRULE_FREQ VP VERB PP+ADP
0.0341182123979 BINARYRULE_FREQ SQ VERB NP+NOUN
0.105131934344 BINARYRULE_FREQ NP NP PP
0.000961076405574 BINARYRULE_FREQ SQ PP PP
0.175591531756 BINARYRULE_FREQ VP VERB PP
0.0470588235294 BINARYRULE_FREQ S . .
0.001953125 BINARYRULE_FREQ PP PRT NP+NUM
0.000480538202787 BINARYRULE_FREQ SQ NP+ADJ SQ
0.00124533001245 BINARYRULE_FREQ VP NP ADJP+ADJ
0.0246913580247 BINARYRULE_FREQ ADJP CONJ ADJ
0.00124533001245 BINARYRULE_FREQ VP NP+NOUN PRT+PRT
0.00763582966226 BINARYRULE_FREQ SBARQ WHADVP SBARQ
0.0009765625 BINARYRULE_FREQ PP ADP NP+QP
0.5869140625 BINARYRULE_FREQ PP ADP NP
0.0119521912351 BINARYRULE_FREQ SQ+VP VERB SBAR+S
0.00624699663623 BINARYRULE_FREQ SQ NP+DET PP
0.0123348017621 BINARYRULE_FREQ SBARQ WHADJP SBARQ
0.00527240773286 BINARYRULE_FREQ WHNP PRON NP
0.666666666667 BINARYRULE_FREQ WHADVP ADV ADV
0.00124533001245 BINARYRULE_FREQ VP NP VP+VERB
0.0038443056223 BINARYRULE_FREQ SQ VERB ADJP
0.0009765625 BINARYRULE_FREQ PP NP+NUM PP
0.0123456790123 BINARYRULE_FREQ ADJP NUM NOUN
0.000480538202787 BINARYRULE_FREQ SQ NP+NOUN VP+NOUN
0.0009765625 BINARYRULE_FREQ PP PRT NP+DET
0.0174346201743 BINARYRULE_FREQ VP VERB VP+VERB
0.000480538202787 BINARYRULE_FREQ SQ NP+S VP
0.000207770621234 BINARYRULE_FREQ NP NOUN PP+ADP
0.00124533001245 BINARYRULE_FREQ VP VERB NP+SBAR+S
0.0823529411765 BINARYRULE_FREQ S NP+PRON VP+VERB
0.000480538202787 BINARYRULE_FREQ SQ NP+NP VP+VERB
0.000207770621234 BINARYRULE_FREQ NP NOUN ADVP+ADV
0.0991065863287 BINARYRULE_FREQ NP ADJ NOUN
0.000480538202787 BINARYRULE_FREQ SQ ADJP+ADJ PP
0.00498132004981 BINARYRULE_FREQ VP PRT VP+VERB
0.00124533001245 BINARYRULE_FREQ VP NP+NUM PP
0.0909090909091 BINARYRULE_FREQ SBAR+S NP VP+VERB
0.00124533001245 BINARYRULE_FREQ VP VERB .
0.875 BINARYRULE_FREQ WHPP ADP WHNP
0.000207770621234 BINARYRULE_FREQ NP NP+NOUN PP+ADP
0.0038443056223 BINARYRULE_FREQ SQ VERB NP+DET
0.00124533001245 BINARYRULE_FREQ VP NOUN PP+ADP
0.00103885310617 BINARYRULE_FREQ NP NP PP+ADP
0.333333333333 BINARYRULE_FREQ NP+NP . NP
0.000207770621234 BINARYRULE_FREQ NP CONJ NP+NUM
0.00249066002491 BINARYRULE_FREQ VP PP NP
0.00624699663623 BINARYRULE_FREQ SQ NP VP+NOUN
0.122222222222 BINARYRULE_FREQ S+VP VERB PP
0.00249066002491 BINARYRULE_FREQ VP ADVP+ADV PP
0.00124533001245 BINARYRULE_FREQ VP VERB WHADJP
0.00124533001245 BINARYRULE_FREQ VP NP SBAR
0.00796812749004 BINARYRULE_FREQ SQ+VP ADVP+ADV VP
0.00192215281115 BINARYRULE_FREQ SQ VP PP
0.00124533001245 BINARYRULE_FREQ VP PRT+PRT WHPP
0.00249066002491 BINARYRULE_FREQ VP PP+ADP PP
0.00205580029369 BINARYRULE_FREQ SBARQ WHNP SQ
0.00373599003736 BINARYRULE_FREQ VP PRT+PRT PP
0.0153846153846 BINARYRULE_FREQ SBAR WHPP S
0.00702987697715 BINARYRULE_FREQ WHNP ADV ADV
0.000623311863702 BINARYRULE_FREQ NP VERB NP
0.951612903226 BINARYRULE_FREQ WHADJP ADV ADJ
0.0876494023904 BINARYRULE_FREQ SQ+VP VERB PP
0.036040365209 BINARYRULE_FREQ SQ NP+PRON VP
0.0153846153846 BINARYRULE_FREQ SBAR WHNP+DET S+VP+VERB
0.0222222222222 BINARYRULE_FREQ S+VP VERB S
0.00644088925826 BINARYRULE_FREQ NP NP+NOUN PP
0.31379144642 BINARYRULE_FREQ SQ VERB NP
0.00519426553085 BINARYRULE_FREQ NP CONJ NP
0.285714285714 BINARYRULE_FREQ QP ADV NUM
0.0123456790123 BINARYRULE_FREQ ADJP ADJ PRT+PRT
0.000623311863702 BINARYRULE_FREQ NP . PRON
0.0714285714286 BINARYRULE_FREQ ADVP ADV NP
0.388888888889 BINARYRULE_FREQ S+VP PRT VP
0.0246913580247 BINARYRULE_FREQ ADJP ADJ NOUN
0.0111111111111 BINARYRULE_FREQ S+VP VERB ADVP+ADV
0.00240269101394 BINARYRULE_FREQ SQ NP SQ
0.00373599003736 BINARYRULE_FREQ VP NP+NOUN S+VP
0.00290878869728 BINARYRULE_FREQ NP PRON NP
1.0 BINARYRULE_FREQ NX NOUN NOUN
0.00207770621234 BINARYRULE_FREQ NP NP SBAR+S+VP
0.000293685756241 BINARYRULE_FREQ SBARQ WHNP+WHNP SBARQ
0.00124533001245 BINARYRULE_FREQ VP PRT+PRT SBARQ
0.000480538202787 BINARYRULE_FREQ SQ NP+NOUN ADJP
0.0123456790123 BINARYRULE_FREQ ADJP ADJ VP
0.00124533001245 BINARYRULE_FREQ VP NP+PRON ADJP+ADJ
0.00390625 BINARYRULE_FREQ PP ADP NOUN
0.00249066002491 BINARYRULE_FREQ VP ADV VERB
0.00398406374502 BINARYRULE_FREQ SQ+VP VERB S
0.00702987697715 BINARYRULE_FREQ WHNP ADJ NOUN
0.000961076405574 BINARYRULE_FREQ SQ NP+NOUN NP
0.001953125 BINARYRULE_FREQ PP ADP SBAR
0.00124533001245 BINARYRULE_FREQ VP NOUN PP
0.000881057268722 BINARYRULE_FREQ SBARQ SBAR SBARQ
0.000961076405574 BINARYRULE_FREQ SQ NP ADJP
0.013671875 BINARYRULE_FREQ PP ADP S+VP
0.0714285714286 BINARYRULE_FREQ ADVP ADV .
0.000480538202787 BINARYRULE_FREQ SQ ADJP SBAR
0.00124533001245 BINARYRULE_FREQ VP NP+NP PP
0.000207770621234 BINARYRULE_FREQ NP NP+NUM NP
0.15998337835 BINARYRULE_FREQ NP NOUN NOUN
0.0909090909091 BINARYRULE_FREQ SBAR+S NP+PRON VP+VERB
0.00996264009963 BINARYRULE_FREQ VP VERB PRT+PRT
0.0111111111111 BINARYRULE_FREQ S+VP VP VP
0.00373599003736 BINARYRULE_FREQ VP PRT+PRT NP
0.000207770621234 BINARYRULE_FREQ NP X NOUN
0.0224159402242 BINARYRULE_FREQ VP NP VP
0.0153846153846 BINARYRULE_FREQ SBAR WHNP S
0.00249066002491 BINARYRULE_FREQ VP S PP
0.00436318304592 BINARYRULE_FREQ NP NP VP
0.00373599003736 BINARYRULE_FREQ VP CONJ VP
0.000415541242468 BINARYRULE_FREQ NP . ADJP+ADJ
0.0249066002491 BINARYRULE_FREQ VP PP PP
0.0111111111111 BINARYRULE_FREQ S+VP VERB ADJP
0.285714285714 BINARYRULE_FREQ ADVP ADV ADV
0.000415541242468 BINARYRULE_FREQ NP . NUM
0.000207770621234 BINARYRULE_FREQ NP ADJP .
0.000207770621234 BINARYRULE_FREQ NP . PP
0.00144161460836 BINARYRULE_FREQ SQ NP+PRON PP
0.000831082484937 BINARYRULE_FREQ NP NP NP+NOUN
0.00373599003736 BINARYRULE_FREQ VP VERB PP+PRT
0.294117647059 BINARYRULE_FREQ S VP .
0.00124533001245 BINARYRULE_FREQ VP NP+NOUN SBAR
0.00373599003736 BINARYRULE_FREQ VP NP PP+ADP
0.00373599003736 BINARYRULE_FREQ VP VERB ADVP+ADV
0.122222222222 BINARYRULE_FREQ S+VP VERB VP
0.00124533001245 BINARYRULE_FREQ VP NP+NOUN VP+VERB
0.000480538202787 BINARYRULE_FREQ SQ . PP
0.000207770621234 BINARYRULE_FREQ NP NP+NUM PP+ADP
0.123456790123 BINARYRULE_FREQ ADJP ADJ PP
0.00175746924429 BINARYRULE_FREQ WHNP NOUN ADJ
0.0117647058824 BINARYRULE_FREQ S PP S
0.00228547683358 BINARYRULE_FREQ NP NP S+VP
0.0009765625 BINARYRULE_FREQ PP ADV ADP
0.0123456790123 BINARYRULE_FREQ ADJP ADJ .
0.0123456790123 BINARYRULE_FREQ ADJP NOUN ADJP
0.00398406374502 BINARYRULE_FREQ SQ+VP VP PP
0.00124533001245 BINARYRULE_FREQ VP VP PP
0.00205580029369 BINARYRULE_FREQ SBARQ . SBARQ
0.0107421875 BINARYRULE_FREQ PP PP PP
0.153846153846 BINARYRULE_FREQ SBAR WHADVP+ADV S
0.159152295865 BINARYRULE_FREQ NP DET NP
0.0176605028049 BINARYRULE_FREQ NP NP NOUN
0.0123456790123 BINARYRULE_FREQ ADJP NOUN ADJ
0.000587371512482 BINARYRULE_FREQ SBARQ SQ SBARQ
0.314741035857 BINARYRULE_FREQ SQ+VP VERB VP
0.000587371512482 BINARYRULE_FREQ SBARQ SBARQ SBARQ
0.000480538202787 BINARYRULE_FREQ SQ VERB S+VP
0.00373599003736 BINARYRULE_FREQ VP ADV VP
0.000961076405574 BINARYRULE_FREQ SQ NP VERB
0.00540203615209 BINARYRULE_FREQ NP ADJP NOUN
0.0123456790123 BINARYRULE_FREQ ADJP NUM ADJ
0.000623311863702 BINARYRULE_FREQ NP NP+DET PP
0.261538461538 BINARYRULE_FREQ SBAR WHNP+DET S+VP
0.237298091043 BINARYRULE_FREQ SBARQ WHNP+PRON SBARQ
0.0117647058824 BINARYRULE_FREQ S NP+NUM VP
0.0416666666667 BINARYRULE_FREQ WHPP PRT WHNP+DET
0.148311306902 BINARYRULE_FREQ SBARQ WHNP SBARQ
0.000293685756241 BINARYRULE_FREQ SBARQ WHNP+DET SBARQ
0.000415541242468 BINARYRULE_FREQ NP ADJ ADJ
0.000207770621234 BINARYRULE_FREQ NP NOUN ADV
0.00527240773286 BINARYRULE_FREQ WHNP NOUN NOUN
0.000207770621234 BINARYRULE_FREQ NP DET X
0.00144161460836 BINARYRULE_FREQ SQ NP+NOUN PP
0.00498132004981 BINARYRULE_FREQ VP ADVP+ADV VP+VERB
0.00124533001245 BINARYRULE_FREQ VP . NP+S
0.00175746924429 BINARYRULE_FREQ WHNP NP NOUN
0.00432484382508 BINARYRULE_FREQ SQ NP PP
0.000207770621234 BINARYRULE_FREQ NP NP PP+PRT
0.00373599003736 BINARYRULE_FREQ VP NP S+VP
0.0123456790123 BINARYRULE_FREQ ADJP ADVP VERB
0.462214411248 BINARYRULE_FREQ WHNP DET NOUN
0.000480538202787 BINARYRULE_FREQ SQ NP+NOUN ADJP+ADJ
0.00249066002491 BINARYRULE_FREQ VP VERB WHNP
0.00249066002491 BINARYRULE_FREQ VP ADJP PP
0.181818181818 BINARYRULE_FREQ SBAR+S NP+PRON VP
1.0 BINARYRULE_FREQ NP+SBAR+S ADVP+ADV S
0.00398406374502 BINARYRULE_FREQ SQ+VP VP VP
0.00192215281115 BINARYRULE_FREQ SQ NP+PRON SQ
0.297453147525 BINARYRULE_FREQ SQ VERB SQ
0.000480538202787 BINARYRULE_FREQ SQ VERB VP+VERB
0.00864968765017 BINARYRULE_FREQ SQ VERB PP
0.279296875 BINARYRULE_FREQ PP ADP NP+NOUN
0.0123456790123 BINARYRULE_FREQ ADJP . ADJ
0.00249066002491 BINARYRULE_FREQ VP VERB ADJP
0.000587371512482 BINARYRULE_FREQ SBARQ CONJ SBARQ
0.0153846153846 BINARYRULE_FREQ SBAR SQ+VP .
0.0009765625 BINARYRULE_FREQ PP . PP
0.000207770621234 BINARYRULE_FREQ NP NP WHPP
0.000207770621234 BINARYRULE_FREQ NP NUM NUM
0.00124533001245 BINARYRULE_FREQ VP . S
0.00124533001245 BINARYRULE_FREQ VP ADV NP
0.120299189695 BINARYRULE_FREQ NP DET NOUN
0.000207770621234 BINARYRULE_FREQ NP NP+NOUN .
0.454545454545 BINARYRULE_FREQ SBAR+S NP VP
0.0777777777778 BINARYRULE_FREQ S+VP PRT VP+VERB
0.0297933685728 BINARYRULE_FREQ SQ NP+NOUN VP
0.000480538202787 BINARYRULE_FREQ SQ NP NP+NOUN
0.00747198007472 BINARYRULE_FREQ VP PRT+PRT VP
0.00124533001245 BINARYRULE_FREQ VP NP ADVP
0.0123456790123 BINARYRULE_FREQ ADJP ADJP ADJP
0.000480538202787 BINARYRULE_FREQ SQ VERB ADJP+ADJ
0.0038443056223 BINARYRULE_FREQ SQ NP NP
0.000207770621234 BINARYRULE_FREQ NP ADJ NP+NOUN
0.9 BINARYRULE_FREQ SBAR+S+VP PRT VP
